nama_provinsi,nama_kabupaten_kota,jumlah_penderita_dm,tahun
JAWA BARAT,KABUPATEN BOGOR,57769,2019
JAWA BARAT,KABUPATEN SUKABUMI,148447,2019
JAWA BARAT,KABUPATEN CIANJUR,12100,2019
JAWA BARAT,KABUPATEN BANDUNG,45412,2019
JAWA BARAT,KABUPATEN GARUT,0,2019
JAWA BARAT,KABUPATEN TASIKMALAYA,10930,2019
JAWA BARAT,KABUPATEN CIAMIS,69113,2019
JAWA BARAT,KABUPATEN KUNINGAN,31582,2019
JAWA BARAT,KABUPATEN CIREBON,21981,2019
JAWA BARAT,KABUPATEN MAJALENGKA,12915,2019
JAWA BARAT,KABUPATEN SUMEDANG,0,2019
JAWA BARAT,KABUPATEN INDRAMAYU,5504,2019
JAWA BARAT,KABUPATEN SUBANG,21691,2019
JAWA BARAT,KABUPATEN PURWAKARTA,11783,2019
JAWA BARAT,KABUPATEN KARAWANG,149537,2019
JAWA BARAT,KABUPATEN BEKASI,89055,2019
JAWA BARAT,KABUPATEN BANDUNG BARAT,0,2019
JAWA BARAT,KABUPATEN PANGANDARAN,0,2019
JAWA BARAT,KOTA BOGOR,12273,2019
JAWA BARAT,KOTA SUKABUMI,0,2019
JAWA BARAT,KOTA BANDUNG,45430,2019
JAWA BARAT,KOTA CIREBON,0,2019
JAWA BARAT,KOTA BEKASI,42517,2019
JAWA BARAT,KOTA DEPOK,48899,2019
JAWA BARAT,KOTA CIMAHI,9571,2019
JAWA BARAT,KOTA TASIKMALAYA,0,2019
JAWA BARAT,KOTA BANJAR,1946,2019
JAWA BARAT,KABUPATEN BOGOR,71462,2020
JAWA BARAT,KABUPATEN SUKABUMI,37523,2020
JAWA BARAT,KABUPATEN CIANJUR,14208,2020
JAWA BARAT,KABUPATEN BANDUNG,32847,2020
JAWA BARAT,KABUPATEN GARUT,17732,2020
JAWA BARAT,KABUPATEN TASIKMALAYA,15049,2020
JAWA BARAT,KABUPATEN CIAMIS,79252,2020
JAWA BARAT,KABUPATEN KUNINGAN,17663,2020
JAWA BARAT,KABUPATEN CIREBON,22345,2020
JAWA BARAT,KABUPATEN MAJALENGKA,13024,2020
JAWA BARAT,KABUPATEN SUMEDANG,79656,2020
JAWA BARAT,KABUPATEN INDRAMAYU,30709,2020
JAWA BARAT,KABUPATEN SUBANG,16830,2020
JAWA BARAT,KABUPATEN PURWAKARTA,12405,2020
JAWA BARAT,KABUPATEN KARAWANG,139392,2020
JAWA BARAT,KABUPATEN BEKASI,242169,2020
JAWA BARAT,KABUPATEN BANDUNG BARAT,17009,2020
JAWA BARAT,KABUPATEN PANGANDARAN,16376,2020
JAWA BARAT,KOTA BOGOR,19694,2020
JAWA BARAT,KOTA SUKABUMI,2465,2020
JAWA BARAT,KOTA BANDUNG,43906,2020
JAWA BARAT,KOTA CIREBON,20834,2020
JAWA BARAT,KOTA BEKASI,44714,2020
JAWA BARAT,KOTA DEPOK,50631,2020
JAWA BARAT,KOTA CIMAHI,9716,2020
JAWA BARAT,KOTA TASIKMALAYA,8906,2020
JAWA BARAT,KOTA BANJAR,2340,2020
JAWA BARAT,KABUPATEN BOGOR,61139,2021
JAWA BARAT,KABUPATEN SUKABUMI,37523,2021
JAWA BARAT,KABUPATEN CIANJUR,14694,2021
JAWA BARAT,KABUPATEN BANDUNG,82787,2021
JAWA BARAT,KABUPATEN GARUT,43698,2021
JAWA BARAT,KABUPATEN TASIKMALAYA,15506,2021
JAWA BARAT,KABUPATEN CIAMIS,34730,2021
JAWA BARAT,KABUPATEN KUNINGAN,17663,2021
JAWA BARAT,KABUPATEN CIREBON,22465,2021
JAWA BARAT,KABUPATEN MAJALENGKA,13469,2021
JAWA BARAT,KABUPATEN SUMEDANG,64920,2021
JAWA BARAT,KABUPATEN INDRAMAYU,30136,2021
JAWA BARAT,KABUPATEN SUBANG,27375,2021
JAWA BARAT,KABUPATEN PURWAKARTA,11962,2021
JAWA BARAT,KABUPATEN KARAWANG,153547,2021
JAWA BARAT,KABUPATEN BEKASI,37185,2021
JAWA BARAT,KABUPATEN BANDUNG BARAT,17009,2021
JAWA BARAT,KABUPATEN PANGANDARAN,6708,2021
JAWA BARAT,KOTA BOGOR,17042,2021
JAWA BARAT,KOTA SUKABUMI,19258,2021
JAWA BARAT,KOTA BANDUNG,43761,2021
JAWA BARAT,KOTA CIREBON,18160,2021
JAWA BARAT,KOTA BEKASI,54661,2021
JAWA BARAT,KOTA DEPOK,50631,2021
JAWA BARAT,KOTA CIMAHI,9716,2021
JAWA BARAT,KOTA TASIKMALAYA,9729,2021
JAWA BARAT,KOTA BANJAR,10201,2021
JAWA BARAT,KABUPATEN BOGOR,63978,2022
JAWA BARAT,KABUPATEN SUKABUMI,17981,2022
JAWA BARAT,KABUPATEN CIANJUR,15941,2022
JAWA BARAT,KABUPATEN BANDUNG,45465,2022
JAWA BARAT,KABUPATEN GARUT,22594,2022
JAWA BARAT,KABUPATEN TASIKMALAYA,21129,2022
JAWA BARAT,KABUPATEN CIAMIS,16847,2022
JAWA BARAT,KABUPATEN KUNINGAN,21782,2022
JAWA BARAT,KABUPATEN CIREBON,23174,2022
JAWA BARAT,KABUPATEN MAJALENGKA,14164,2022
JAWA BARAT,KABUPATEN SUMEDANG,23340,2022
JAWA BARAT,KABUPATEN INDRAMAYU,33131,2022
JAWA BARAT,KABUPATEN SUBANG,27005,2022
JAWA BARAT,KABUPATEN PURWAKARTA,14022,2022
JAWA BARAT,KABUPATEN KARAWANG,36259,2022
JAWA BARAT,KABUPATEN BEKASI,39992,2022
JAWA BARAT,KABUPATEN BANDUNG BARAT,19675,2022
JAWA BARAT,KABUPATEN PANGANDARAN,5097,2022
JAWA BARAT,KOTA BOGOR,19570,2022
JAWA BARAT,KOTA SUKABUMI,5521,2022
JAWA BARAT,KOTA BANDUNG,44329,2022
JAWA BARAT,KOTA CIREBON,9008,2022
JAWA BARAT,KOTA BEKASI,42984,2022
JAWA BARAT,KOTA DEPOK,38479,2022
JAWA BARAT,KOTA CIMAHI,9863,2022
JAWA BARAT,KOTA TASIKMALAYA,10997,2022
JAWA BARAT,KOTA BANJAR,2377,2022
JAWA BARAT,KABUPATEN BOGOR,65620,2023
JAWA BARAT,KABUPATEN SUKABUMI,14180,2023
JAWA BARAT,KABUPATEN CIANJUR,13398,2023
JAWA BARAT,KABUPATEN BANDUNG,59205,2023
JAWA BARAT,KABUPATEN GARUT,16367,2023
JAWA BARAT,KABUPATEN TASIKMALAYA,30058,2023
JAWA BARAT,KABUPATEN CIAMIS,14976,2023
JAWA BARAT,KABUPATEN KUNINGAN,18614,2023
JAWA BARAT,KABUPATEN CIREBON,14055,2023
JAWA BARAT,KABUPATEN MAJALENGKA,12096,2023
JAWA BARAT,KABUPATEN SUMEDANG,20443,2023
JAWA BARAT,KABUPATEN INDRAMAYU,31964,2023
JAWA BARAT,KABUPATEN SUBANG,25530,2023
JAWA BARAT,KABUPATEN PURWAKARTA,13201,2023
JAWA BARAT,KABUPATEN KARAWANG,36926,2023
JAWA BARAT,KABUPATEN BEKASI,39979,2023
JAWA BARAT,KABUPATEN BANDUNG BARAT,15874,2023
JAWA BARAT,KABUPATEN PANGANDARAN,7110,2023
JAWA BARAT,KOTA BOGOR,17445,2023
JAWA BARAT,KOTA SUKABUMI,4336,2023
JAWA BARAT,KOTA BANDUNG,41413,2023
JAWA BARAT,KOTA CIREBON,21231,2023
JAWA BARAT,KOTA BEKASI,43257,2023
JAWA BARAT,KOTA DEPOK,43929,2023
JAWA BARAT,KOTA CIMAHI,10016,2023
JAWA BARAT,KOTA TASIKMALAYA,11782,2023
JAWA BARAT,KOTA BANJAR,2385,2023
